step,time_ps,temp_K,press_bar,pxx_bar,pyy_bar,pzz_bar,lx_A,ly_A,lz_A,vol_A3,density_g_cm3,pe_eV_atom
84000,84,297.088804177479,-311.04033226319,-1683.63892756461,-1659.30032698423,2409.81825775927,102.449428287252,59.1492049999687,93.8367048813074,568631.874048506,4.47426785124242,-4.833942930058
85000,85,300.553599326065,-280.853302885524,-1597.38336129824,-1645.77371489261,2400.59716753427,102.45265982548,59.1510707294346,93.8396647504265,568685.684410311,4.47384448561447,-4.83333305899794
86000,86,298.302291845701,-122.406569276598,-1561.50393275356,-1446.50136123272,2640.78558615648,102.445977254523,59.1472125452942,93.8335439701627,568574.412494889,4.4747200319533,-4.83345781244658
87000,87,299.476034540355,204.667522758168,-1219.34161035863,-1102.50214907809,2935.84632771123,102.436874345688,59.1419569784277,93.8252063250999,568422.862732565,4.47591305707909,-4.83332971465196
88000,88,298.116524237485,732.985110059555,-678.063664556429,-635.372723717135,3512.39171845223,102.418430055115,59.1313081623005,93.8083126100233,568115.875559187,4.47833166207992,-4.83359042852827
89000,89,299.29317483448,396.455861649337,-975.527894293425,-975.11183041351,3140.00730965494,102.430053584773,59.1380190102773,93.8189589722368,568309.324956621,4.47680726238507,-4.83349782223675
90000,90,302.738647458785,215.617376352483,-1086.95696396422,-1222.48889587779,2956.29798889946,102.43723259652,59.1421638146418,93.8255344584826,568428.826561804,4.47586609679151,-4.83340433061868
91000,91,300.172533207733,78.4893444992455,-1322.27505264683,-1265.83313052887,2823.57621667344,102.440499917169,59.1440502030982,93.8285271018643,568483.219825886,4.4754378397065,-4.83343558946428
92000,92,297.599367507761,-94.7993218637814,-1454.97296345847,-1449.91826432768,2620.49326219481,102.445259024594,59.1467978750506,93.8328861204192,568562.454066396,4.4748141475938,-4.83346258882778
93000,93,299.067397933924,-626.484976548914,-1955.7753734434,-2043.73478954003,2120.05523333668,102.463191859776,59.1571514022702,93.8493113771613,568861.083454195,4.47246504858127,-4.83336527643547
94000,94,299.098813552807,-440.906099001698,-1835.69437154883,-1765.29795680007,2278.27403134381,102.455961914734,59.152977191554,93.842689239483,568740.673067947,4.4734119322305,-4.83362873721476
95000,95,301.802126730562,-130.722090325516,-1578.88715290338,-1439.837014492,2626.55789641883,102.447133686912,59.1478802118448,93.8346031835371,568593.667285721,4.4745685005466,-4.83349123433151
96000,96,300.449157468189,-42.5420963642709,-1474.98003056997,-1302.12791190124,2649.4816533784,102.442288984942,59.1450831218581,93.8301657662024,568513.005099415,4.47520336461267,-4.83379775288472
97000,97,300.64876519883,136.480290821503,-1232.35630037019,-1235.85646797066,2877.65364080536,102.439101580283,59.1432428729198,93.8272463204288,568459.940355198,4.47562111704341,-4.83338325772981
98000,98,299.220929267899,499.048800837721,-841.42460489523,-887.855408896484,3226.42641630488,102.426676035565,59.1360689813321,93.8158653669946,568253.108172071,4.47725014902437,-4.83340960992605
99000,99,300.142517020162,564.074428000109,-816.129866185374,-845.609375100776,3353.96252528648,102.425679238962,59.1354934805452,93.8149523691363,568236.517945466,4.47738086676635,-4.83329745218849
100000,100,300.416446967837,360.189798870323,-1064.19752367171,-951.391720682242,3096.15864096492,102.432368221444,59.1393553663814,93.8210790219212,568347.852496618,4.47650378561446,-4.83334084044918
