step,time_ps,strain,sigma_zz_GPa,sigma_xx_GPa,sigma_yy_GPa,temp_K,pe_eV_atom,lx_A,ly_A,lz_A,vol_A3,density_g_cm3,sigma_zz_smooth_GPa
3700,3.7,0.0036999999999983,0.845961166481728,-0.0276094889462985,-0.0311599848904021,300.428607661244,-4.83359438861958,153.767092566818,88.7791060529755,140.223917478026,1914239.46837411,4.48570480551827,0.8609426034854887
3800,3.8,0.0037999999999982,0.895129701952607,0.0175207586111757,0.0435387633662627,300.715581676961,-4.83362033876872,153.752218897058,88.7502668537319,140.20984301075,1913240.48729654,4.48804697538664,0.8741737975349767
3900,3.9,0.0038999999999985,0.865704023261377,-0.0236832437289494,-0.0457832557366664,300.736050218392,-4.83370650386748,153.770483457108,88.7920690290504,140.195768543473,1914176.85870969,4.48585152575014,0.8881645457225924
4000,4.0,0.0039999999999985,0.920676974032604,0.0322358956992932,0.0358097378966586,299.643319716586,-4.83369488772641,153.74286048682,88.7630473231063,140.181694076196,1913015.39392544,4.48857505771494,0.9015667654752799
4100,4.1,0.0040999999999984,0.889828001642609,-0.0385002621516964,-0.0314216953153916,299.270917167627,-4.83365878034352,153.8010473316,88.7849452633797,140.167619608919,1914019.34185871,4.48622069506356,0.9155952023449145
4200,4.2,0.0041999999999983,0.955855071939576,0.0426545754138675,0.0383622774674109,299.046952369287,-4.83341339455482,153.741930776556,88.7732003570943,140.153545141643,1912838.46053133,4.48899024113794,0.929007919134299
4300,4.3,0.0042999999999982,0.920310755270838,-0.0316647752168789,-0.0466656552947741,300.237075505696,-4.83346613632945,153.794831190339,88.8041555407172,140.139470674366,1913971.65294096,4.48633247467606,0.9431077252774015
4400,4.4,0.0043999999999985,0.98101938319697,0.0225645435369687,0.0527606164815175,300.754322098721,-4.83355564336495,153.780333159506,88.7629200240175,140.125396207089,1912710.45504061,4.48929066057527,0.9566009837997045
4500,4.5,0.0044999999999984,0.947061166544593,-0.026516059582233,-0.0443306961531928,300.534388841489,-4.83364942806479,153.800528778892,88.8088202268208,140.111321739813,1913758.61777953,4.48683188278015,0.9704742750385142
4600,4.6,0.0045999999999983,1.00036812482152,0.0309423422054555,0.0257558745538437,301.10880570686,-4.83380190874201,153.762222707395,88.7872683898688,140.097247272536,1912625.5151908,4.48949003032717,0.9837448868673062
4700,4.7,0.0046999999999982,0.975425679327836,-0.0352947999503077,-0.024884076795759,298.335094079389,-4.83372269336345,153.828685019084,88.7971148610985,140.083172805259,1913472.18030417,4.48750353968224,0.9977608075933176
4800,4.8,0.0047999999999982,1.02756444464463,0.0272959081831622,0.0290201198576808,298.641603040162,-4.83374847583889,153.78461019744,88.7843960019358,140.069098337982,1912457.76847035,4.4898838153516,1.0112550382630512
4900,4.9,0.0048999999999985,1.01226711242252,-0.0154319562147608,-0.0323852595023951,298.469892988141,-4.83350676728194,153.80435798104,88.8186044527995,140.055023870706,1913248.04480304,4.48802924718652,1.025413873010936
5000,5.0,0.0049999999999984,1.05653101516795,0.0223371420690309,0.0211035210828158,299.40556127652,-4.83348755653769,153.799510717482,88.7938334413393,140.040949403429,1912461.96272527,4.48987396850621,1.038944651296129
5100,5.1,0.0050999999999983,1.04101835288223,-0.0252739647979069,-0.0117675320159191,300.331345887618,-4.83348736270271,153.838560622637,88.8085536076782,140.026874936152,1913072.37833445,4.48844135718179,1.0530220304994253
5200,5.2,0.0051999999999982,1.07386350211355,0.0234648803830535,0.007621796575508,300.168776684072,-4.83341664909299,153.799099826897,88.8137425462378,140.012800468875,1912501.15948907,4.48978194841588,1.066521235715417
5300,5.3,0.0052999999999985,1.07642093505167,-0.0125276249089886,-0.0052183124322074,300.088351404124,-4.83346551911685,153.832711570307,88.8161979734832,139.998726001599,1912779.71275572,4.48912811283831,1.080526601922038
5400,5.4,0.0053999999999984,1.1001262922916,0.0032305471179396,0.0098134079847865,299.02831186792,-4.83354302029611,153.833219050943,88.8076605847648,139.984651534322,1912409.87846708,4.48999624969584,1.0941019641639766
5500,5.5,0.0054999999999984,1.1055116965282,-0.0020856233051147,-0.0061333852239137,299.772592984269,-4.83364715625825,153.827319911821,88.8230044285805,139.970577067045,1912474.64304606,4.48984419920053,1.1079517479747825
5600,5.6,0.0055999999999983,1.12058002649675,0.0072184361236706,-0.0071994382763257,300.534099423221,-4.83356887804333,153.83509405978,88.823424269555,139.956502599769,1912388.0203818,4.49004756915607,1.1215757744536397
5700,5.7,0.0056999999999982,1.13565734217833,-0.0110592723113991,0.0106223723556461,300.465999398567,-4.83344870222111,153.863987209636,88.8138866495066,139.942428132492,1912349.48626243,4.49013804426549,1.1354546255553544
5800,5.8,0.0057999999999985,1.14654949385687,0.0073125693587478,-0.0099927023572666,300.917570505578,-4.83353330484509,153.843346272139,88.8313697078728,139.928353665215,1912276.99670887,4.49030825396982,1.1489671552336502
5900,5.9,0.0058999999999984,1.1678446869932,0.005082726094541,0.0091049670615118,299.244820554466,-4.83336231165967,153.845655452121,88.8306846867812,139.914279197938,1912098.60848258,4.49072717489859,1.1628634565554492
6000,6.0,0.0059999999999983,1.17200293791568,-0.0068734269206893,-0.0048226089242189,300.128884202123,-4.83350374944673,153.870769850004,88.8294242044277,139.900204730662,1912191.23739498,4.49050963851102,1.176646736337325
6100,6.1,0.0060999999999982,1.19690725529369,0.0027360571306692,0.0150313485502335,298.319499124619,-4.83340479013823,153.865158108821,88.8270106817842,139.886130263385,1911877.18481069,4.49124726756375,1.1906144384042614
6200,6.2,0.0061999999999985,1.19410640534007,0.0011439750244491,-0.0186281136962633,299.30667353725,-4.83359849464905,153.862857608584,88.8456784315199,139.872055796108,1912057.99209005,4.49082256799775,1.2043966181185841
6300,6.3,0.0062999999999985,1.2226772251516,0.0011480012912599,0.0192435213197445,299.754671977758,-4.83347678439276,153.877039918813,88.8303457519308,139.857981328831,1911711.84608916,4.49163570323872,1.2180690041735254
