step,time_ps,strain,sigma_zz_GPa,sigma_xx_GPa,sigma_yy_GPa,temp_K,pe_eV_atom,lx_A,ly_A,lz_A,vol_A3,density_g_cm3
5200,5.2,0.0519999999999988,7.47228608299684,0.00175956355970279,0.00448123631164339,299.530692684652,-4.81265205058894,156.413817847451,90.2980381851831,133.428954279275,1884531.98982988,4.55641678068496
5300,5.3,0.0529999999999987,7.60802886786828,-0.00190990270906488,0.0124517212134998,299.667628629539,-4.81182694136447,156.475821692731,90.3336389946459,133.288206437209,1884032.84837619,4.55762392338286
5400,5.4,0.0539999999999986,7.73930917979795,0.00340788207912628,-0.00176127175381286,299.812895408261,-4.81100724783859,156.532334700865,90.3765074012733,133.147458595142,1883616.55284241,4.5586311976506
5500,5.5,0.0549999999999985,7.87166875497818,0.00501792875873765,0.0041772841396084,299.330242195228,-4.81012203088043,156.598770029134,90.4101630861538,133.006710753075,1883125.01652713,4.55982109888494
5600,5.6,0.0559999999999988,7.99491821276562,-0.00274590609153291,0.00535316405526554,299.354470851806,-4.80929042515776,156.672762059391,90.4469234444848,132.865962911008,1882786.33714384,4.56064132865145
5700,5.7,0.0569999999999987,8.13246929983461,0.0135953273391674,-0.00110129036948331,299.075827028509,-4.80829372251069,156.726793424848,90.488090785122,132.725215068942,1882296.83078344,4.56182735994117
5800,5.8,0.0579999999999986,8.26432107576506,-0.0035332979274229,0.00866825816107001,300.206503065546,-4.80738088264422,156.801683439149,90.5224548959455,132.584467226875,1881913.64847767,4.5627562078337
5900,5.9,0.0589999999999985,8.39443301653392,0.00480479605876948,-0.000917397992093638,300.52989425697,-4.80642412512524,156.865247656224,90.5626997739931,132.443719384808,1881514.06320425,4.56372522008958
6000,6,0.0599999999999988,8.52161343372649,0.000847899109522653,-0.00345563299968741,300.913950641686,-4.80559820299196,156.928560717062,90.6044164710094,132.302971542741,1881139.3054716,4.5646343985385
6100,6.1,0.0609999999999987,8.65763732017575,0.00382472533775036,0.00720753957867273,300.139951565858,-4.80476876472538,156.991768243003,90.6381892940618,132.162223700675,1880595.7021796,4.56595384762739
