case,label,frame,strain,anomaly_score_mean,anomaly_fraction
32k_1e9,"Ti 32k, 1e9 s^-1",37,0.16599996387958527,-0.00012345025121037124,0.508
32k_1e9,"Ti 32k, 1e9 s^-1",38,0.1679999977350235,-0.0014520577273603639,0.496
32k_1e9,"Ti 32k, 1e9 s^-1",39,0.17000000178813934,-0.004439129911238849,0.479
32k_1e9,"Ti 32k, 1e9 s^-1",40,0.1720000058412552,-0.004805265680569976,0.486
32k_1e9,"Ti 32k, 1e9 s^-1",41,0.17399999499320984,-0.008180309945496112,0.473
32k_1e9,"Ti 32k, 1e9 s^-1",42,0.17600002884864807,-0.008090737494291478,0.469
32k_1e9,"Ti 32k, 1e9 s^-1",43,0.17799998819828033,-0.012025758717314813,0.451
32k_1e9,"Ti 32k, 1e9 s^-1",44,0.18000003695487976,-0.015023664114885779,0.436
32k_1e9,"Ti 32k, 1e9 s^-1",45,0.1900000274181366,-0.016280649730921908,0.43
32k_1e9,"Ti 32k, 1e9 s^-1",46,0.20000003278255463,-0.02331310699381071,0.416
32k_1e9,"Ti 32k, 1e9 s^-1",47,0.21000002324581146,-0.024483417241411076,0.412
32k_1e9,"Ti 32k, 1e9 s^-1",48,0.2200000137090683,-0.030483422141097425,0.389
32k_1e9,"Ti 32k, 1e9 s^-1",49,0.23000000417232513,-0.03261783787625337,0.368
32k_1e9,"Ti 32k, 1e9 s^-1",50,0.23999997973442078,-0.03766444477181413,0.352
32k_1e9,"Ti 32k, 1e9 s^-1",51,0.25,-0.03746729769444579,0.351
108k_1e9,"Ti 108k, 1e9 s^-1",0,0.0,-0.08935614193950639,0.012
108k_1e9,"Ti 108k, 1e9 s^-1",1,0.009999999776482582,-0.10800312374181903,0.003
108k_1e9,"Ti 108k, 1e9 s^-1",2,0.019999999552965164,-0.12055182749073326,0.003
108k_1e9,"Ti 108k, 1e9 s^-1",3,0.029999997466802597,-0.1254345889667152,0.005
108k_1e9,"Ti 108k, 1e9 s^-1",4,0.03999999910593033,-0.13281042628556444,0.003
108k_1e9,"Ti 108k, 1e9 s^-1",5,0.05000000819563866,-0.13079248559669818,0.003
108k_1e9,"Ti 108k, 1e9 s^-1",6,0.059999994933605194,-0.12647815528881842,0.003
108k_1e9,"Ti 108k, 1e9 s^-1",7,0.07000000029802322,-0.1215132318405673,0.004
108k_1e9,"Ti 108k, 1e9 s^-1",8,0.07999999821186066,-0.10931852215352919,0.009
108k_1e9,"Ti 108k, 1e9 s^-1",9,0.09000001847743988,-0.08943055393562747,0.043
108k_1e9,"Ti 108k, 1e9 s^-1",10,0.10000001639127731,-0.06265475996008048,0.111
108k_1e9,"Ti 108k, 1e9 s^-1",11,0.10500001162290573,-0.04097552426479458,0.232
108k_1e9,"Ti 108k, 1e9 s^-1",12,0.11000000685453415,-0.023978975180410714,0.319
108k_1e9,"Ti 108k, 1e9 s^-1",13,0.11500000208616257,-0.004914378577757276,0.477
108k_1e9,"Ti 108k, 1e9 s^-1",14,0.11999998986721039,0.013494526687819851,0.624
108k_1e9,"Ti 108k, 1e9 s^-1",15,0.12199998646974564,0.0173930807611779,0.654
108k_1e9,"Ti 108k, 1e9 s^-1",16,0.12399998307228088,0.02733521080382322,0.756
108k_1e9,"Ti 108k, 1e9 s^-1",17,0.12600001692771912,0.03196792920990891,0.795
108k_1e9,"Ti 108k, 1e9 s^-1",18,0.12800002098083496,0.03619219380570813,0.825
108k_1e9,"Ti 108k, 1e9 s^-1",19,0.12999999523162842,0.04195717405475045,0.874
108k_1e9,"Ti 108k, 1e9 s^-1",20,0.13199998438358307,0.04701951501692672,0.892
108k_1e9,"Ti 108k, 1e9 s^-1",21,0.1340000331401825,0.04977427621232379,0.917
108k_1e9,"Ti 108k, 1e9 s^-1",22,0.13600002229213715,0.05584653589215193,0.946
108k_1e9,"Ti 108k, 1e9 s^-1",23,0.1379999965429306,0.058885622182448825,0.97
108k_1e9,"Ti 108k, 1e9 s^-1",24,0.14000000059604645,0.06109406036454194,0.963
108k_1e9,"Ti 108k, 1e9 s^-1",25,0.1419999897480011,0.06570898035566296,0.981
108k_1e9,"Ti 108k, 1e9 s^-1",26,0.14400002360343933,0.06894088813653407,0.988
108k_1e9,"Ti 108k, 1e9 s^-1",27,0.1459999978542328,0.07064896027808035,0.99
108k_1e9,"Ti 108k, 1e9 s^-1",28,0.14800000190734863,0.07371704873873884,0.991
108k_1e9,"Ti 108k, 1e9 s^-1",29,0.15000000596046448,0.07652020583154286,0.998
108k_1e9,"Ti 108k, 1e9 s^-1",30,0.15199996531009674,0.07925569995644782,0.997
108k_1e9,"Ti 108k, 1e9 s^-1",31,0.15399999916553497,0.08125539141490233,0.996
108k_1e9,"Ti 108k, 1e9 s^-1",32,0.15599998831748962,0.08485533543429538,0.986
108k_1e9,"Ti 108k, 1e9 s^-1",33,0.15800000727176666,0.022687092748017605,0.59
108k_1e9,"Ti 108k, 1e9 s^-1",34,0.1599999964237213,0.0006059508873689236,0.519
108k_1e9,"Ti 108k, 1e9 s^-1",35,0.16199997067451477,-0.0009204531752050589,0.49
108k_1e9,"Ti 108k, 1e9 s^-1",36,0.1640000194311142,-0.0031859775188738835,0.487
108k_1e9,"Ti 108k, 1e9 s^-1",37,0.16599996387958527,-0.004413688797453669,0.474
108k_1e9,"Ti 108k, 1e9 s^-1",38,0.1679999977350235,-0.00503056494000361,0.47
108k_1e9,"Ti 108k, 1e9 s^-1",39,0.17000000178813934,-0.005423674979232766,0.466
108k_1e9,"Ti 108k, 1e9 s^-1",40,0.1720000058412552,-0.009167896626540792,0.465
108k_1e9,"Ti 108k, 1e9 s^-1",41,0.17399999499320984,-0.009648240320167839,0.449
108k_1e9,"Ti 108k, 1e9 s^-1",42,0.17600002884864807,-0.009760876054443512,0.449
108k_1e9,"Ti 108k, 1e9 s^-1",43,0.17799998819828033,-0.010915224561445088,0.445
108k_1e9,"Ti 108k, 1e9 s^-1",44,0.18000003695487976,-0.014012736361335222,0.438
108k_1e9,"Ti 108k, 1e9 s^-1",45,0.1900000274181366,-0.02113117745753772,0.427
108k_1e9,"Ti 108k, 1e9 s^-1",46,0.20000003278255463,-0.02452591754981249,0.41
108k_1e9,"Ti 108k, 1e9 s^-1",47,0.21000002324581146,-0.02770390032267609,0.383
108k_1e9,"Ti 108k, 1e9 s^-1",48,0.2200000137090683,-0.031995114320287066,0.379
108k_1e9,"Ti 108k, 1e9 s^-1",49,0.23000000417232513,-0.03688437649132273,0.363
108k_1e9,"Ti 108k, 1e9 s^-1",50,0.23999997973442078,-0.03783843530362546,0.358
108k_1e9,"Ti 108k, 1e9 s^-1",51,0.25,-0.038083747054066495,0.35
108k_1e10,"Ti 108k, 1e10 s^-1",0,0.0,-0.09180225084553038,0.006
108k_1e10,"Ti 108k, 1e10 s^-1",1,0.009999999776482582,-0.1094887808057008,0.008
108k_1e10,"Ti 108k, 1e10 s^-1",2,0.019999999552965164,-0.12112511484684728,0.0
108k_1e10,"Ti 108k, 1e10 s^-1",3,0.029999997466802597,-0.12966920931943246,0.002
108k_1e10,"Ti 108k, 1e10 s^-1",4,0.03999999910593033,-0.1325266284229172,0.001
108k_1e10,"Ti 108k, 1e10 s^-1",5,0.05000000819563866,-0.13075055579249384,0.001
108k_1e10,"Ti 108k, 1e10 s^-1",6,0.059999994933605194,-0.12767813853192117,0.002
108k_1e10,"Ti 108k, 1e10 s^-1",7,0.07000000029802322,-0.11978273100573893,0.007
108k_1e10,"Ti 108k, 1e10 s^-1",8,0.07999999821186066,-0.10804779260181581,0.014
108k_1e10,"Ti 108k, 1e10 s^-1",9,0.09000001847743988,-0.08966624108772052,0.041
108k_1e10,"Ti 108k, 1e10 s^-1",10,0.10000001639127731,-0.06327128969867146,0.106
108k_1e10,"Ti 108k, 1e10 s^-1",11,0.10500001162290573,-0.04274045885893231,0.199
108k_1e10,"Ti 108k, 1e10 s^-1",12,0.11000000685453415,-0.02511020983846089,0.316
108k_1e10,"Ti 108k, 1e10 s^-1",13,0.11500000208616257,-0.0054989317471712575,0.469
108k_1e10,"Ti 108k, 1e10 s^-1",14,0.11999998986721039,0.011486143868363247,0.636
108k_1e10,"Ti 108k, 1e10 s^-1",15,0.12199998646974564,0.019727423154545887,0.689
108k_1e10,"Ti 108k, 1e10 s^-1",16,0.12399998307228088,0.026429101517409365,0.754
