case,label,frame,strain,mds1,mds2
32k_1e9,"Ti 32k, 1e9 s^-1",13,0.1149999999999999,-0.011611831721145693,0.007413529507541009
32k_1e9,"Ti 32k, 1e9 s^-1",14,0.1199999999999999,-0.012780507508462343,0.010582155687825107
32k_1e9,"Ti 32k, 1e9 s^-1",15,0.1219999999999999,-0.012496193436192671,0.01204781544596571
32k_1e9,"Ti 32k, 1e9 s^-1",16,0.1239999999999999,-0.013776647974807009,0.012395394015564212
32k_1e9,"Ti 32k, 1e9 s^-1",17,0.1259999999999999,-0.013281362044330391,0.0139338490466645
32k_1e9,"Ti 32k, 1e9 s^-1",18,0.1279999999999999,-0.013203080885905242,0.01606902847003547
32k_1e9,"Ti 32k, 1e9 s^-1",19,0.1299999999999999,-0.014327312428191852,0.016740943429910504
32k_1e9,"Ti 32k, 1e9 s^-1",20,0.132,-0.014024797842784903,0.018765968934783852
32k_1e9,"Ti 32k, 1e9 s^-1",21,0.134,-0.014067101433452878,0.020403733961597715
32k_1e9,"Ti 32k, 1e9 s^-1",22,0.136,-0.014268572604737299,0.021810641185509516
32k_1e9,"Ti 32k, 1e9 s^-1",23,0.138,-0.014869928058863566,0.022945571270884018
32k_1e9,"Ti 32k, 1e9 s^-1",24,0.14,-0.014912905665574178,0.024617705813395792
32k_1e9,"Ti 32k, 1e9 s^-1",25,0.142,-0.014849990259658163,0.025575288090563687
32k_1e9,"Ti 32k, 1e9 s^-1",26,0.144,-0.0149347261483277,0.027980492912123227
32k_1e9,"Ti 32k, 1e9 s^-1",27,0.146,-0.015435585973954573,0.028872173312323553
32k_1e9,"Ti 32k, 1e9 s^-1",28,0.148,-0.015975231552568313,0.03007242051784182
32k_1e9,"Ti 32k, 1e9 s^-1",29,0.15,-0.0166189339439717,0.031331468302182267
32k_1e9,"Ti 32k, 1e9 s^-1",30,0.152,-0.016081957124834814,0.03291884094417034
32k_1e9,"Ti 32k, 1e9 s^-1",31,0.154,-0.015646273312799212,0.03483469425585779
32k_1e9,"Ti 32k, 1e9 s^-1",32,0.1560000000000001,-0.013765753541788127,0.03425199223387116
32k_1e9,"Ti 32k, 1e9 s^-1",33,0.1580000000000001,0.0072109905506561245,0.003451903060722157
32k_1e9,"Ti 32k, 1e9 s^-1",34,0.1599999999999999,0.017902341897839163,-0.01651449680472408
32k_1e9,"Ti 32k, 1e9 s^-1",35,0.1619999999999999,0.019774145651439062,-0.019356917871154105
32k_1e9,"Ti 32k, 1e9 s^-1",36,0.1639999999999999,0.01999942764883103,-0.020814946250049936
32k_1e9,"Ti 32k, 1e9 s^-1",37,0.166,0.0193507405791276,-0.021145044095618473
32k_1e9,"Ti 32k, 1e9 s^-1",38,0.1679999999999998,0.020249934333744387,-0.021210076706795134
32k_1e9,"Ti 32k, 1e9 s^-1",39,0.1699999999999998,0.019834763410351713,-0.021576061753534336
32k_1e9,"Ti 32k, 1e9 s^-1",40,0.1719999999999998,0.020026017788569248,-0.02322952868116054
32k_1e9,"Ti 32k, 1e9 s^-1",41,0.1739999999999998,0.020075419322341775,-0.024011070245729477
32k_1e9,"Ti 32k, 1e9 s^-1",42,0.1759999999999998,0.01987104076855355,-0.023187829564573333
32k_1e9,"Ti 32k, 1e9 s^-1",43,0.1779999999999999,0.019535899000306844,-0.0237221385147505
32k_1e9,"Ti 32k, 1e9 s^-1",44,0.1799999999999999,0.02019547635301941,-0.021975189955983337
32k_1e9,"Ti 32k, 1e9 s^-1",45,0.1899999999999999,0.01775061087034242,-0.02263530542384404
32k_1e9,"Ti 32k, 1e9 s^-1",46,0.2,0.016250195906322307,-0.024504991609249474
32k_1e9,"Ti 32k, 1e9 s^-1",47,0.21,0.01549046657991652,-0.02279104647341317
32k_1e9,"Ti 32k, 1e9 s^-1",48,0.2199999999999999,0.014767919073878685,-0.022474549719191612
32k_1e9,"Ti 32k, 1e9 s^-1",49,0.2299999999999999,0.013572674245964077,-0.022658288722307202
32k_1e9,"Ti 32k, 1e9 s^-1",50,0.2399999999999998,0.01387992434981148,-0.021986644279286368
32k_1e9,"Ti 32k, 1e9 s^-1",51,0.2499999999999999,0.01318331254400384,-0.02166883632343911
108k_1e9,"Ti 108k, 1e9 s^-1",0,0.0,0.019914003829386788,-0.03616416730670783
108k_1e9,"Ti 108k, 1e9 s^-1",1,0.01,0.01594287212636445,-0.03487413817686353
108k_1e9,"Ti 108k, 1e9 s^-1",2,0.0200000000000001,0.012838251970025269,-0.03250556432972936
108k_1e9,"Ti 108k, 1e9 s^-1",3,0.0299999999999998,0.00922839639841059,-0.030593418793260458
108k_1e9,"Ti 108k, 1e9 s^-1",4,0.0399999999999999,0.006084560139384966,-0.027947908009637402
108k_1e9,"Ti 108k, 1e9 s^-1",5,0.05,0.0030172499089542934,-0.02483644963331479
108k_1e9,"Ti 108k, 1e9 s^-1",6,0.06,7.915198151793576e-06,-0.021379380836865868
108k_1e9,"Ti 108k, 1e9 s^-1",7,0.0700000000000001,-0.0019650821169116196,-0.016504836618373674
108k_1e9,"Ti 108k, 1e9 s^-1",8,0.0799999999999998,-0.004492428832645549,-0.012211772023515952
108k_1e9,"Ti 108k, 1e9 s^-1",9,0.0899999999999999,-0.006381797920228571,-0.0066934955272508895
108k_1e9,"Ti 108k, 1e9 s^-1",10,0.1,-0.008808970975123747,-0.001542180314784407
108k_1e9,"Ti 108k, 1e9 s^-1",11,0.105,-0.00985167660736279,0.0016167502783012045
108k_1e9,"Ti 108k, 1e9 s^-1",12,0.11,-0.010725556732670194,0.004354736902733127
108k_1e9,"Ti 108k, 1e9 s^-1",13,0.115,-0.012839204994792361,0.0062555629587867775
108k_1e9,"Ti 108k, 1e9 s^-1",14,0.12,-0.013100111810965404,0.009932325359289843
108k_1e9,"Ti 108k, 1e9 s^-1",15,0.122,-0.01331904873728684,0.010975718992609625
108k_1e9,"Ti 108k, 1e9 s^-1",16,0.1239999999999999,-0.013347041654827009,0.013065165707134072
108k_1e9,"Ti 108k, 1e9 s^-1",17,0.126,-0.013648578710490931,0.01412026674397246
108k_1e9,"Ti 108k, 1e9 s^-1",18,0.1279999999999999,-0.01330947115326431,0.015800603132404372
108k_1e9,"Ti 108k, 1e9 s^-1",19,0.1299999999999999,-0.014087432867305412,0.016816714477115108
108k_1e9,"Ti 108k, 1e9 s^-1",20,0.1320000000000001,-0.013748032994342062,0.01858314180415421
108k_1e9,"Ti 108k, 1e9 s^-1",21,0.1339999999999999,-0.013948304564936164,0.01992122928112938
108k_1e9,"Ti 108k, 1e9 s^-1",22,0.1359999999999999,-0.014289898050858568,0.02179635236543485
